Frog,Sex,Tank,Time,Health Check,Swimming,Resting,Foraging,Feeding,Breathing,Amplexus
G02306,F,One,AM,NO,716.4,2779.2,72,7.2,25.2,0
G02306,F,One,Noon,NO,1548,1839.6,158.4,3.6,50.4,0
G02306,F,One,PM,NO,1947.6,1544.4,72,7.2,28.8,0
G02307,F,One,AM,NO,601.2,2912.4,25.2,3.6,57.6,0
G02307,F,One,Noon,NO,1454.4,2059.2,25.2,0,61.2,0
G02307,F,One,PM,NO,1332,2163.6,90,7.2,7.2,0
G02308,F,One,AM,NO,338.4,3139.2,86.4,0,36,0
G02308,F,One,Noon,NO,374.4,3218.4,3.6,0,3.6,0
G02308,F,One,PM,NO,842.4,2739.6,10.8,3.6,3.6,0
G02310,M,One,AM,NO,0,3600,0,0,0,0
G02310,M,One,Noon,NO,75.6,3517.2,0,0,7.2,0
G02310,M,One,PM,NO,172.8,3398.4,18,3.6,7.2,0
G02195,F,One,AM,NO,295.2,3297.6,3.6,0,3.6,0
G02195,F,One,Noon,NO,324,3265.2,0,0,10.8,0
G02195,F,One,PM,NO,428.4,3168,0,0,3.6,0
G02313,M,Two,AM,NO,1040.4,2023.2,57.6,3.6,3.6,471.6
G02313,M,Two,Noon,NO,493.2,3038.4,61.2,0,7.2,0
G02313,M,Two,PM,NO,252,3276,39.6,28.8,3.6,0
G02314,F,Two,AM,NO,954,2541.6,39.6,28.8,36,0
G02314,F,Two,Noon,NO,763.2,2772,25.2,18,21.6,0
G02314,F,Two,PM,NO,140.4,3387.6,3.6,64.8,3.6,0
G02315,F,Two,AM,NO,907.2,2523.6,0,144,25.2,0
G02315,F,Two,Noon,NO,658.8,2880,54,0,7.2,0
G02315,F,Two,PM,NO,108,3438,46.8,3.6,3.6,0
G02316,F,Two,AM,NO,162,3402,7.2,0,28.8,0
G02316,F,Two,Noon,NO,327.6,3265.2,7.2,0,0,0
G02316,F,Two,PM,NO,1580.4,1735.2,237.6,3.6,43.2,0
G02318,M,Two,AM,NO,61.2,3538.8,0,0,0,0
G02318,M,Two,Noon,NO,327.6,3258,0,0,14.4,0
G02318,M,Two,PM,NO,104.4,3481.2,3.6,3.6,7.2,0
G02317,F,Three,AM,NO,1299.6,2188.8,72,32.4,7.2,0
G02317,F,Three,Noon,NO,2113.2,1350,111.6,14.4,10.8,0
G02317,F,Three,PM,NO,2203.2,1249.2,126,10.8,10.8,0
G02321,M,Three,AM,NO,986.4,2584.8,10.8,7.2,10.8,0
G02321,M,Three,Noon,NO,104.4,3488.4,3.6,0,3.6,0
G02321,M,Three,PM,NO,208.8,3362.4,3.6,3.6,21.6,0
G02337,F,Three,AM,NO,1378.8,2113.2,28.8,68.4,10.8,0
G02337,F,Three,Noon,NO,1371.6,2203.2,10.8,14.4,0,0
G02337,F,Three,PM,NO,1425.6,2080.8,61.2,21.6,10.8,0
G02338,F,Three,AM,NO,921.6,2646,18,7.2,7.2,0
G02338,F,Three,Noon,NO,1450.8,2109.6,14.4,18,7.2,0
G02338,F,Three,PM,NO,1702.8,1782,32.4,25.2,57.6,0
G02339,F,Three,AM,NO,626.4,2966.4,3.6,0,3.6,0
G02339,F,Three,Noon,NO,1522.8,1969.2,28.8,68.4,10.8,0
G02339,F,Three,PM,NO,1954.8,1540.8,54,32.4,18,0
G02319,M,Five,AM,NO,363.6,3175.2,3.6,39.6,18,0
G02319,M,Five,Noon,NO,392.4,3002.4,90,111.6,3.6,0
G02319,M,Five,PM,NO,46.8,3542.4,10.8,0,0,0
G02340,F,Five,AM,NO,79.2,3481.2,3.6,32.4,3.6,0
G02340,F,Five,Noon,NO,540,2970,50.4,7.2,32.4,0
G02340,F,Five,PM,NO,25.2,3574.8,0,0,0,0
G02341,F,Five,AM,NO,374.4,3139.2,54,21.6,10.8,0
G02341,F,Five,Noon,NO,162,3438,0,0,0,0
G02341,F,Five,PM,NO,0,3600,0,0,0,0
G02342,F,Five,AM,NO,154.8,3369.6,18,46.8,10.8,0
G02342,F,Five,Noon,NO,417.6,3031.2,147.6,0,3.6,0
G02342,F,Five,PM,NO,36,3564,0,0,0,0
G02343,F,Five,AM,NO,172.8,3369.6,10.8,39.6,7.2,0
G02343,F,Five,Noon,NO,205.2,3358.8,36,0,0,0
G02343,F,Five,PM,NO,10.8,3589.2,0,0,0,0
G02344,F,Five,AM,NO,187.2,3391.2,10.8,3.6,7.2,0
G02344,F,Five,Noon,NO,252,3236.4,0,0,111.6,0
G02344,F,Five,PM,NO,151.2,3448.8,0,0,0,0
G02320,M,Six,AM,NO,129.6,3466.8,0,0,3.6,0
G02320,M,Six,Noon,NO,702,2898,0,0,0,0
G02320,M,Six,PM,NO,1321.2,2275.2,0,0,3.6,0
G02345,F,Six,AM,NO,1206,2055.6,237.6,36,64.8,0
G02345,F,Six,Noon,NO,1328.4,2203.2,7.2,54,7.2,0
G02345,F,Six,PM,NO,3574.8,0,0,0,25.2,0
G02346,M,Six,AM,NO,0,0,0,0,0,3600
G02346,M,Six,Noon,NO,223.2,954,0,10.8,7.2,2404.8
G02346,M,Six,PM,NO,2163.6,1425.6,3.6,3.6,3.6,0
G02306,F,One,AM,YES,2959.2,619.2,0,18,3.6,0
G02307,F,One,AM,YES,2541.6,1015.2,0,43.2,0,0
G02308,F,One,AM,YES,1915.2,1587.6,0,68.4,28.8,0
G02310,M,One,AM,YES,2394,1069.2,0,136.8,0,0
G02195,F,One,AM,YES,2030.4,1515.6,0,54,0,0
G02313,F,Two,AM,YES,1843.2,1558.8,0,198,0,0
G02314,M,Two,AM,YES,1947.6,1468.8,0,183.6,0,0
G02315,F,Two,AM,YES,2091.6,1429.2,0,79.2,0,0
G02316,F,Two,AM,YES,1692,1684.8,0,223.2,0,0
G02318,M,Two,AM,YES,1015.2,2520,0,64.8,0,0
G02317,F,Three,AM,YES,2433.6,824.4,21.6,302.4,18,0
G02321,M,Three,AM,YES,1623.6,1890,0,0,0,86.4
G02337,F,Three,AM,YES,2156.4,1386,0,57.6,0,0
G02338,F,Three,AM,YES,2426.4,781.2,0,392.4,0,0
G02339,F,Three,AM,YES,1389.6,2138.4,0,72,0,0
G02319,M,Five,AM,YES,1458,2120.4,0,0,21.6,0
G02340,F,Five,AM,YES,1756.8,1760.4,82.8,0,0,0
G02341,F,Five,AM,YES,2253.6,1299.6,0,46.8,0,0
G02342,F,Five,AM,YES,1720.8,1872,7.2,0,0,0
G02343,F,Five,AM,YES,824.4,2772,0,3.6,0,0
G02344,F,Five,AM,YES,1335.6,2246.4,0,18,0,0
G02320,M,Six,AM,YES,1969.2,1630.8,0,0,0,0
G02345,F,Six,AM,YES,3236.4,345.6,0,18,0,0
